"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct","weather_ct","nas_ct","late_aircraft_ct","arr_delay","security_ct"
"67",0,8,"OO","SkyWest Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",52,14,4.09,2.66,4.34,2.91,1146,0
"68",0,8,"OO","SkyWest Airlines Inc.","DEN","Denver, CO: Denver International",4102,694,147.69,12.1,165.15,366.06,60323,3
"69",0,8,"OO","SkyWest Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",384,96,20.08,6.11,28.78,41.03,7586,0
"70",0,8,"OO","SkyWest Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",663,150,37.92,5.34,57.33,49.4,9819,0
"71",0,8,"OO","SkyWest Airlines Inc.","LAS","Las Vegas, NV: McCarran International",360,86,12.39,3.52,19.37,49.21,6568,1.52
"72",0,8,"OO","SkyWest Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",2777,575,88.63,16.62,201.76,267.59,47946,0.4
"73",0,8,"OO","SkyWest Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",8190,1826,300.99,49.79,562.72,909,163032,3.51
"74",0,8,"OO","SkyWest Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",1272,159,30.63,2.67,24.91,100.79,11291,0
"75",0,8,"OO","SkyWest Airlines Inc.","SFO","San Francisco, CA: San Francisco International",3325,1419,115.85,64.65,635.08,601.48,134670,1.93
"76",0,8,"UA","United Air Lines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",471,89,23.92,5.03,36.85,23.2,5437,0
"77",0,8,"UA","United Air Lines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",174,23,5.04,1.39,3.94,12.62,1572,0
"78",0,8,"UA","United Air Lines Inc.","DEN","Denver, CO: Denver International",5784,665,173.27,37.03,232.73,220.97,41162,1
"79",0,8,"UA","United Air Lines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",660,130,33.37,7.01,50.76,38.86,8888,0
"80",0,8,"UA","United Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",5202,737,160.95,42.6,260.93,272.52,52599,0
"81",0,8,"UA","United Air Lines Inc.","LAS","Las Vegas, NV: McCarran International",1068,212,62.54,10.09,59.14,80.23,12723,0
"82",0,8,"UA","United Air Lines Inc.","LAX","Los Angeles, CA: Los Angeles International",2571,478,130.01,28.72,155.13,164.14,32571,0
"83",0,8,"UA","United Air Lines Inc.","ORD","Chicago, IL: Chicago O'Hare International",7161,1109,228.39,49.15,431.48,399.97,83986,0
"84",0,8,"UA","United Air Lines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",563,96,18.67,13.34,27.71,36.28,6631,0
"85",0,8,"UA","United Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",6027,1616,233.25,48,940.14,393.41,111012,1.19
"86",0,8,"VX","Virgin America","DEN","Denver, CO: Denver International",89,33,5.1,1.95,7,18.94,1726,0
"87",0,8,"VX","Virgin America","LAS","Las Vegas, NV: McCarran International",393,124,14.74,2.46,41.07,65.28,5746,0.44
"88",0,8,"VX","Virgin America","LAX","Los Angeles, CA: Los Angeles International",1264,343,84.46,5.35,131.5,120.55,18796,1.13
"89",0,8,"VX","Virgin America","ORD","Chicago, IL: Chicago O'Hare International",149,38,11.01,1.07,15.33,10.6,1735,0
"90",0,8,"VX","Virgin America","SFO","San Francisco, CA: San Francisco International",1906,797,95.6,14.82,430.28,255.59,51463,0.71
"91",0,8,"WN","Southwest Airlines Co.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",3551,877,237.28,24.15,246.65,367.21,43664,1.71
"92",0,8,"WN","Southwest Airlines Co.","CLT","Charlotte, NC: Charlotte Douglas International",242,78,27.18,2.2,24.28,24.34,3287,0
"93",0,8,"WN","Southwest Airlines Co.","DEN","Denver, CO: Denver International",6226,1574,420.67,49.94,363.23,739.34,78306,0.82
"94",0,8,"WN","Southwest Airlines Co.","LAS","Las Vegas, NV: McCarran International",6450,1763,423.45,40.76,347.9,948.78,85650,2.11
"95",0,8,"WN","Southwest Airlines Co.","LAX","Los Angeles, CA: Los Angeles International",3710,1438,324.78,24.44,499.9,588.88,68890,0
"96",0,8,"WN","Southwest Airlines Co.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",5169,1412,373.51,22.43,243.5,771.82,67202,0.75
"97",0,8,"WN","Southwest Airlines Co.","SFO","San Francisco, CA: San Francisco International",1586,788,128.02,39.51,336.46,284.01,50334,0
"98",0,9,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",889,113,45.14,3.4,30.68,33.78,6786,0
"99",0,9,"AA","American Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",8063,884,256.43,15.02,364.16,245.31,47762,3.08
"100",0,9,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",914,128,62.43,1.17,35.08,28.52,7488,0.81
"101",0,9,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",11392,1038,404,25.82,260.19,341.24,68908,6.75
"102",0,9,"AA","American Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",550,56,19.92,2.58,19.68,13.82,2849,0
"103",0,9,"AA","American Airlines Inc.","LAS","Las Vegas, NV: McCarran International",1154,160,52.38,2.26,70.13,34.92,8893,0.31
"104",0,9,"AA","American Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",3038,277,111.26,11.62,99.22,52.91,14560,2
"105",0,9,"AA","American Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",5469,699,189.24,20.33,306.14,179.18,41223,4.12
"106",0,9,"AA","American Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",4194,409,143.46,7.08,128.88,127.83,21871,1.76
"107",0,9,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",1072,199,49.72,2.55,109.79,36.94,10281,0
"108",0,9,"AS","Alaska Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",51,6,2.13,0,3.87,0,130,0
"109",0,9,"AS","Alaska Airlines Inc.","DEN","Denver, CO: Denver International",140,23,10.46,0,8.02,4.52,665,0
"110",0,9,"AS","Alaska Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",115,10,6.28,0,1.72,2,466,0
"111",0,9,"AS","Alaska Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",43,4,1,0,1.25,1.75,288,0
"112",0,9,"AS","Alaska Airlines Inc.","LAS","Las Vegas, NV: McCarran International",335,45,16.23,0,18.76,10.01,2654,0
"113",0,9,"AS","Alaska Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",667,64,24.78,0,26.46,12.75,2405,0
"114",0,9,"AS","Alaska Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",177,18,7.21,0,10.04,0.75,581,0
"115",0,9,"AS","Alaska Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",175,23,6.69,0,11.9,4.41,809,0
"116",0,9,"AS","Alaska Airlines Inc.","SFO","San Francisco, CA: San Francisco International",451,111,17.59,0,84.98,8.43,5864,0
"117",0,9,"B6","JetBlue Airways","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",140,25,12,0,3.15,9.66,1379,0.19
"118",0,9,"B6","JetBlue Airways","CLT","Charlotte, NC: Charlotte Douglas International",109,13,4.09,1,5.38,2.53,1058,0
"119",0,9,"B6","JetBlue Airways","DEN","Denver, CO: Denver International",90,20,7.29,0.07,6.13,6.51,1225,0
"120",0,9,"B6","JetBlue Airways","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",55,9,1.91,0,4.58,2.51,448,0
"121",0,9,"B6","JetBlue Airways","LAS","Las Vegas, NV: McCarran International",504,108,42.51,1.55,29.83,33.65,8035,0.46
"122",0,9,"B6","JetBlue Airways","LAX","Los Angeles, CA: Los Angeles International",477,80,29.99,1.86,23.83,24.32,3783,0
"123",0,9,"B6","JetBlue Airways","ORD","Chicago, IL: Chicago O'Hare International",203,38,14.39,0,14.23,9.38,2588,0
"124",0,9,"B6","JetBlue Airways","PHX","Phoenix, AZ: Phoenix Sky Harbor International",60,14,7.64,0,2.4,3.95,980,0
"125",0,9,"B6","JetBlue Airways","SFO","San Francisco, CA: San Francisco International",557,132,23.54,6.2,67.06,35.2,9080,0
"126",0,9,"DL","Delta Air Lines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",19640,1659,527.66,60.43,548.23,520.68,117681,2
"127",0,9,"DL","Delta Air Lines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",532,45,18.95,2.41,17.01,6.62,2577,0
"128",0,9,"DL","Delta Air Lines Inc.","DEN","Denver, CO: Denver International",889,82,43.45,2.78,23.13,12.65,5326,0
"129",0,9,"DL","Delta Air Lines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",503,40,20.23,4.44,8.35,6.97,2023,0
"130",0,9,"DL","Delta Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",223,26,8.49,1.62,10.54,5.35,1019,0
